                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.44037,                0.42229,                 1.0413,                0.96908,                      1,                  0.995,                0.91621,                0.48628,                0.27153,                  1.001,             0.00049551,             0.00049551,             0.00049551
                    103,                0.47289,                0.37307,                 1.0718,                0.96943,                      1,                  0.995,                0.91622,                0.49709,                0.27416,                 1.0071,             0.00049051,             0.00049051,             0.00049051
                    104,                0.40616,                0.38418,                 1.0282,                0.96943,                      1,                  0.995,                0.91622,                0.49709,                0.27416,                 1.0071,             0.00048552,             0.00048552,             0.00048552
                    105,                0.39361,                0.35088,                 1.0166,                0.98455,                      1,                  0.995,                0.89976,                0.50433,                0.26497,                 1.0172,             0.00048052,             0.00048052,             0.00048052
                    106,                0.30559,                0.31486,                0.96818,                0.98455,                      1,                  0.995,                0.89976,                0.50433,                0.26497,                 1.0172,             0.00047552,             0.00047552,             0.00047552
                    107,                0.38522,                0.39301,                 1.0731,                0.98358,                      1,                  0.995,                0.89977,                0.50088,                0.27058,                 1.0238,             0.00047053,             0.00047053,             0.00047053
                    108,                0.40663,                0.36202,                  1.074,                0.98358,                      1,                  0.995,                0.89977,                0.50088,                0.27058,                 1.0238,             0.00046553,             0.00046553,             0.00046553
                    109,                0.38132,                0.34702,                 1.0186,                0.98047,                      1,                  0.995,                0.89978,                0.50559,                0.28023,                 1.0386,             0.00046054,             0.00046054,             0.00046054
                    110,                 0.4581,                 0.3558,                  1.082,                0.98047,                      1,                  0.995,                0.89978,                0.50559,                0.28023,                 1.0386,             0.00045554,             0.00045554,             0.00045554
                    111,                0.47357,                0.40563,                 1.1223,                0.97952,                      1,                  0.995,                0.89977,                0.51008,                0.28186,                 1.0494,             0.00045055,             0.00045055,             0.00045055
                    112,                0.39578,                0.31247,                 1.0523,                0.97952,                      1,                  0.995,                0.89977,                0.51008,                0.28186,                 1.0494,             0.00044555,             0.00044555,             0.00044555
                    113,                0.42908,                 0.3766,                 1.0358,                0.97829,                      1,                  0.995,                0.89978,                0.51602,                0.28149,                 1.0564,             0.00044056,             0.00044056,             0.00044056
                    114,                0.39036,                0.37881,                 1.0173,                0.97829,                      1,                  0.995,                0.89978,                0.51602,                0.28149,                 1.0564,             0.00043557,             0.00043557,             0.00043557
                    115,                0.41501,                0.35539,                 1.0654,                0.97762,                      1,                  0.995,                0.92465,                 0.5122,                0.27751,                 1.0601,             0.00043057,             0.00043057,             0.00043057
                    116,                0.35768,                0.34416,                 1.0054,                0.97762,                      1,                  0.995,                0.92465,                 0.5122,                0.27751,                 1.0601,             0.00042558,             0.00042558,             0.00042558
                    117,                0.53807,                0.46803,                 1.1909,                0.97865,                      1,                  0.995,                0.92465,                0.51176,                0.27009,                 1.0675,             0.00042058,             0.00042058,             0.00042058
                    118,                0.36907,                0.39076,                 1.0426,                0.97865,                      1,                  0.995,                0.92465,                0.51176,                0.27009,                 1.0675,             0.00041559,             0.00041559,             0.00041559
                    119,                0.34769,                0.32261,                 1.0249,                0.97822,                      1,                  0.995,                0.92465,                0.50178,                0.28414,                 1.0635,             0.00041059,             0.00041059,             0.00041059
                    120,                 0.4341,                0.39883,                 1.0615,                0.97822,                      1,                  0.995,                0.92465,                0.50178,                0.28414,                 1.0635,              0.0004056,              0.0004056,              0.0004056
                    121,                0.44366,                0.42267,                  1.078,                0.97766,                      1,                  0.995,                0.89977,                0.50231,                0.28356,                 1.0614,              0.0004006,              0.0004006,              0.0004006
                    122,                0.35547,                0.35901,                 1.0057,                0.97766,                      1,                  0.995,                0.89977,                0.50231,                0.28356,                 1.0614,             0.00039561,             0.00039561,             0.00039561
